CommunityName;BeachName;BeachCountrycode;BeachRegionalSea;BeachLength_m;BeachLocation;BeachType;EventDate;EventType;NatRef;lon_x1;lat_y1;lon_x2;lat_y2;;G1;G3;G4;G5;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G40;G41;G42;G43;G44;G45;G46;G47;G49;G50;G52;G53;G54;G56;G57;G58;G59;G60;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G76;G77;G79;G80;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G95;G96;G97;G98;G99;G100;G101;G102;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G137;G138;G139;G140;G141;G142;G143;G144;G145;G147;G148;G150;G151;G152;G153;G154;G155;G156;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G171;G172;G174;G175;G176;G177;G178;G179;G180;G181;G182;G184;G186;G187;G188;G189;G190;G191;G193;G194;G195;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G210;G211;G213;CLASSE
gBqsPxAZ;Neum;BA;Mediterranean Sea;1551;Urban;Other (mixed);20160424;Cleanup;;17.619.790.849.047.900;4.291.792.327.340.360;17.607.699.422.017.400;4.292.868.771.626.050;;;37;15;;56;17;;14;;;;;;;;;;90;;;;;;895;;;28;;;;70;45;;;;;;;;2;;;;35;;8;;;;;;;;;;;;;;;;;;32;30;;;;32;;;;;;;;;;;;9;;;;;;;;800;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;350;;;;LIMPO
gBqsPxAZ;Ponton;BA;;86;Urban;Other (mixed);20160519;Cleanup;;1.910.840.665.135.820;44.368.655.173.785.800;19.109.083.858.013.200;44.369.255.678.908.900;;;10;3;;148;144;8;33;;6;;6;;;1;;;350;;;;;2;24;;;79;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;23;68;;;;175;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;27;;;;10;;;;;;;;1;;;;;;;;44;32;3;4;;;;;;;;;;;;1;;;;;;;;7;;5;;;;;;24;;;;POLUIDO
Surfrider Foundation Europe;Blakenberg beach;BE;North-east Atlantic Ocean;82;Urban;Sandy;20160812;Cleanup;;29.747.061.142.684.500;51.255.998.063.635.000;29.755.869.645.068.000;5.125.649.888.395.530;;;4;;;;;;;;;;;6;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Perseus;Alepu;BG;Black Sea;105;Rural;Sandy;20160317;Cleanup;;2.770.921.843.173.200;42.367.082.331.608.300;2.770.950.128.606.210;4.236.616.387.533.450;;;;2;;5;1;;2;;;1;;;;;;;41;;;;;1;;;;3;;;;;1;1;;;;;;;;;;;6;;;;;;;;;;;;1;;;;;;;;;46;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;4;;;;LIMPO
gBqsPxAZ;alepu;BG;Black Sea;2779;Urban;Sandy;20160313;Cleanup;;27.722.467.974.911.600;4.234.864.091.261.680;2.771.062.971.738.270;4.237.205.899.301.860;;;26;;;14;16;4;;2;;;;;;;1;;36;4;32;36;2;1;20;;;13;3;5;17;2;4;;;;;;1;;;;;;;1;2;;1;;;;;;;;2;;;;;;1;;;7;5;4;;;;;;;;;2;;;;1;;;;;;;;1;1;;1;;;4;;;;;;1;;;;;3;;;1;;;2;;2;6;;;;;2;;4;1;;;;;;;;;8;;;19;;;;;;;;;;;;;3;;;;2;;;;;;;;8;1;;;POLUIDO
gBqsPxAZ;chernomorski solnizi;BG;Black Sea;2332;Urban;Sandy;20160313;Cleanup;;2.748.449.735.259.540;4.251.058.089.801.260;27.492.099.644.826.300;4.253.080.422.190.040;;2;8;10;1;26;21;4;4;5;2;;;;;;1;1;71;;3;43;6;4;128;;;25;3;4;38;1;4;;;;;;;;;;;;1;;;;2;;;3;;;;;2;;1;;;;4;;;12;1;9;;2;;;1;;;;4;;;;;;;;;;2;;1;;2;;;;1;;1;;1;;1;;;;;2;;;3;6;2;1;3;28;5;;;1;;;;;;;;8;;;;;;10;;;10;;;;;;;;;;;;;;;;;1;;;;5;;;;;;2;;POLUIDO
gBqsPxAZ;durankulak;BG;Black Sea;249;Rural;Sandy;20160310;Cleanup;;28.565.806.268.421.600;4.369.637.225.441.470;2.856.424.458.053.780;43.694.441.197.372.200;;;1;11;;18;38;;;;;;;1;;;1;1;21;23;;27;;1;10;;;3;2;3;10;;;;1;;1;;4;;1;;;7;;1;;;2;;;;1;;;;;;;;;4;1;;1;11;9;3;2;;;;;;;;;;;;;;1;;1;;;;;2;;1;;1;;;1;;;;;;;;;;;;;;;1;1;2;6;;;;;;;3;;;;;;;;1;1;11;;2;;;;;;;;;;;3;;;;;1;;;;;;;;;;;;2;;POLUIDO
gBqsPxAZ;irakli;BG;Black Sea;2222;Near river mouth;Sandy;20160312;Cleanup;;27.889.678.098.380.200;4.274.945.468.536.290;27.894.918.133.129.200;427.298.346.377.523;;;4;14;2;14;25;3;;;4;1;3;1;2;;2;1;232;10;410;31;3;4;33;3;1;19;6;10;24;2;7;;2;;;;;;3;;;5;14;6;;;2;;;1;;1;;;;;4;;;1;2;;;55;5;190;4;;;;;;;;3;1;;1;;;;;;4;1;;;1;2;;;1;3;;;2;;4;;1;;;3;3;;;7;;4;4;1;;7;;;7;2;5;4;4;3;;;;;;3;1;;2;;;8;;;;1;;;;;;1;;;;;;;7;2;1;;3;1;;;2;2;;;POLUIDO
gBqsPxAZ;kanal 2 varnensko ezero - cherno more;BG;Black Sea;1227;Urban;Rocky;20160311;Cleanup;;27.879.501.295.630.500;43.193.069.459.115.000;27.890.608.636.233.500;43.185.582.001.081.700;;;7;33;;23;19;3;7;6;1;;;;;;;;19;28;31;10;12;7;98;2;;48;3;6;20;10;6;;2;1;;;;;;;;3;10;2;2;;;;;;;;;;;;6;;;;13;;2;17;2;3;;1;;2;;;;;8;;;;;;2;1;;;;;5;15;;;3;;3;;2;;;;9;5;1;;;7;;;7;;;1;2;16;7;22;;10;5;;;;;;;5;;;5;1;3;9;;;;;;2;;;;;;;;;;1;;4;;6;3;5;;5;1;;;;;;;POLUIDO
gBqsPxAZ;krapetz;BG;Black Sea;5850;Rural;Sandy;20160310;Cleanup;;28.564.998.407.198.400;4.369.553.761.795.740;28.574.143.005.262.400;4.364.330.918.039.900;;;;1;;8;31;2;4;;1;;1;;;;;;;16;3;13;;2;25;1;;5;1;6;43;2;4;5;1;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;2;;;7;6;6;10;1;;;;;;;4;;;;;;;;;1;;;;;1;;;;;;;;;1;;;;;;1;;;1;;;1;1;1;3;;;;;1;;;;;;;;;;2;1;1;5;;;;;;;;;;;;2;;;;;;;;1;2;4;;3;;;3;;1;;POLUIDO
